"drugdrug","drug_pair","clusters"
"Amoxicillin-Oxacillin","Amoxicillin_Oxacillin",2
"Amoxicillin-Cefotaxime","Amoxicillin_Cefotaxime",2
"Amoxicillin-Cefaclor","Amoxicillin_Cefaclor",2
"Amoxicillin-Cefsulodin","Amoxicillin_Cefsulodin",2
"Amoxicillin-Piperacillin","Amoxicillin_Piperacillin",2
"Amoxicillin-Penicillin G","Amoxicillin_Penicillin G",2
"Amoxicillin-Imipenem","Amoxicillin_Imipenem",2
"Amoxicillin-Mecillinam","Amoxicillin_Mecillinam",2
"Amoxicillin-Aztreonam","Amoxicillin_Aztreonam",2
"Amoxicillin-Cephalexin","Amoxicillin_Cephalexin",4
"Amoxicillin-Cycloserine D","Amoxicillin_Cycloserine D",2
"Amoxicillin-Teicoplanin","Amoxicillin_Teicoplanin",2
"Amoxicillin-Bacitracin","Amoxicillin_Bacitracin",2
"Amoxicillin-Fosfomycin","Amoxicillin_Fosfomycin",2
"Amoxicillin-Metronidazole","Amoxicillin_Metronidazole",1
"Amoxicillin-Clofazimine","Amoxicillin_Clofazimine",1
"Amoxicillin-Doxorubicin","Amoxicillin_Doxorubicin",3
"Amoxicillin-Mitomycin C","Amoxicillin_Mitomycin C",3
"Amoxicillin-Rifampicin","Amoxicillin_Rifampicin",1
"Amoxicillin-Ciprofloxacin","Amoxicillin_Ciprofloxacin",1
"Amoxicillin-Novobiocin","Amoxicillin_Novobiocin",4
"Amoxicillin-Levofloxacin","Amoxicillin_Levofloxacin",1
"Amoxicillin-Trimethoprim","Amoxicillin_Trimethoprim",3
"Amoxicillin-Sulfamonomethoxine","Amoxicillin_Sulfamonomethoxine",4
"Amoxicillin-Nitrofurantoin","Amoxicillin_Nitrofurantoin",1
"Amoxicillin-Bleomycin","Amoxicillin_Bleomycin",3
"Amoxicillin-Polymyxin B","Amoxicillin_Polymyxin B",3
"Amoxicillin-Chlorhexidine","Amoxicillin_Chlorhexidine",1
"Amoxicillin-Benzalkonium","Amoxicillin_Benzalkonium",1
"Amoxicillin-EGCG","Amoxicillin_EGCG",3
"Amoxicillin-Cerulenin","Amoxicillin_Cerulenin",3
"Amoxicillin-Nisin","Amoxicillin_Nisin",2
"Amoxicillin-Daptomycin","Amoxicillin_Daptomycin",1
"Amoxicillin-CCCP","Amoxicillin_CCCP",4
"Amoxicillin-Nonactin","Amoxicillin_Nonactin",1
"Amoxicillin-Paraquat","Amoxicillin_Paraquat",2
"Amoxicillin-Fusidic acid","Amoxicillin_Fusidic acid",1
"Amoxicillin-Puromycin","Amoxicillin_Puromycin",1
"Amoxicillin-Chloramphenicol","Amoxicillin_Chloramphenicol",2
"Amoxicillin-Linezolid","Amoxicillin_Linezolid",4
"Amoxicillin-Clindamycin","Amoxicillin_Clindamycin",3
"Amoxicillin-Doxycycline","Amoxicillin_Doxycycline",1
"Amoxicillin-Minocycline","Amoxicillin_Minocycline",1
"Amoxicillin-Tigecycline","Amoxicillin_Tigecycline",3
"Amoxicillin-Spectinomycin","Amoxicillin_Spectinomycin",4
"Amoxicillin-Tobramycin","Amoxicillin_Tobramycin",2
"Amoxicillin-Spiramycin","Amoxicillin_Spiramycin",2
"Amoxicillin-Erythromycin","Amoxicillin_Erythromycin",3
"Amoxicillin-Clarithromycin","Amoxicillin_Clarithromycin",1
"Amoxicillin-Caffeine","Amoxicillin_Caffeine",1
"Amoxicillin-Vanillin","Amoxicillin_Vanillin",1
"Amoxicillin-Reserpine","Amoxicillin_Reserpine",1
"Amoxicillin-Procaine","Amoxicillin_Procaine",1
"Amoxicillin-Theophylline","Amoxicillin_Theophylline",2
"Amoxicillin-Loperamide","Amoxicillin_Loperamide",1
"Amoxicillin-Verapamil","Amoxicillin_Verapamil",1
"Amoxicillin-Meropenem","Amoxicillin_Meropenem",2
"Amoxicillin-Colistin","Amoxicillin_Colistin",1
"Amoxicillin-CHIR-90","Amoxicillin_CHIR-90",1
"Amoxicillin-Triclosan","Amoxicillin_Triclosan",2
"Amoxicillin-Gentamicin","Amoxicillin_Gentamicin",3
"Amoxicillin-Azithromycin","Amoxicillin_Azithromycin",1
"Amoxicillin-Curcumin","Amoxicillin_Curcumin",1
"Amoxicillin-Berberine","Amoxicillin_Berberine",1
"Amoxicillin-Metformin","Amoxicillin_Metformin",1
"Amoxicillin-Phenformin","Amoxicillin_Phenformin",2
"Amoxicillin-Streptozotocin","Amoxicillin_Streptozotocin",1
"Amoxicillin-Diclofenac","Amoxicillin_Diclofenac",2
"Amoxicillin-Ciclopirox","Amoxicillin_Ciclopirox",1
"Amoxicillin-Moxifloxacin","Amoxicillin_Moxifloxacin",1
"Amoxicillin-Phleomycin","Amoxicillin_Phleomycin",1
"Oxacillin-Piperacillin","Oxacillin_Piperacillin",3
"Oxacillin-Penicillin G","Oxacillin_Penicillin G",2
"Oxacillin-Teicoplanin","Oxacillin_Teicoplanin",4
"Oxacillin-Rifampicin","Oxacillin_Rifampicin",4
"Oxacillin-Trimethoprim","Oxacillin_Trimethoprim",2
"Oxacillin-Sulfamonomethoxine","Oxacillin_Sulfamonomethoxine",2
"Oxacillin-Polymyxin B","Oxacillin_Polymyxin B",4
"Oxacillin-Paraquat","Oxacillin_Paraquat",2
"Oxacillin-Puromycin","Oxacillin_Puromycin",3
"Oxacillin-Tigecycline","Oxacillin_Tigecycline",2
"Oxacillin-Spectinomycin","Oxacillin_Spectinomycin",1
"Oxacillin-Tobramycin","Oxacillin_Tobramycin",1
"Oxacillin-Spiramycin","Oxacillin_Spiramycin",3
"Oxacillin-Vanillin","Oxacillin_Vanillin",3
"Oxacillin-Reserpine","Oxacillin_Reserpine",1
"Oxacillin-Procaine","Oxacillin_Procaine",1
"Oxacillin-Theophylline","Oxacillin_Theophylline",2
"Oxacillin-Verapamil","Oxacillin_Verapamil",2
"Oxacillin-Triclosan","Oxacillin_Triclosan",2
"Oxacillin-Phenformin","Oxacillin_Phenformin",2
"Oxacillin-Streptozotocin","Oxacillin_Streptozotocin",4
"Oxacillin-Phleomycin","Oxacillin_Phleomycin",1
"Cefotaxime-Oxacillin","Cefotaxime_Oxacillin",2
"Cefotaxime-Cefsulodin","Cefotaxime_Cefsulodin",2
"Cefotaxime-Piperacillin","Cefotaxime_Piperacillin",2
